"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2023","EQ","31.47","31.85","31.41","31.47","31.78","31.78","31.71","33.72","27.26","53,90,920","17,09,63,244.68","12,808"
"31-Jul-2023","EQ","31.06","31.50","31.05","31.05","31.47","31.47","31.34","33.72","27.26","46,14,644","14,46,39,778.58","13,684"
"28-Jul-2023","EQ","31.47","31.47","30.88","31.31","31.07","31.05","31.06","33.72","27.26","67,02,575","20,81,78,960.50","26,285"
"27-Jul-2023","EQ","31.48","31.50","31.23","31.37","31.39","31.31","31.35","33.72","27.26","52,54,347","16,47,05,804.83","16,386"
"26-Jul-2023","EQ","31.34","31.54","31.34","31.32","31.49","31.37","31.44","33.72","27.26","34,60,430","10,87,78,885.72","11,516"
"25-Jul-2023","EQ","31.42","31.72","31.25","31.41","31.34","31.32","31.33","33.72","27.26","42,62,851","13,35,63,498.11","15,309"
"24-Jul-2023","EQ","31.59","31.77","31.35","31.43","31.40","31.41","31.51","33.72","27.26","55,18,476","17,39,02,018.22","16,753"
"21-Jul-2023","EQ","32.69","32.69","31.32","32.76","31.53","31.43","31.59","33.72","27.26","2,66,31,865","84,13,69,930.96","59,303"
"20-Jul-2023","EQ","33.00","33.00","32.59","32.91","32.81","32.76","32.71","33.72","27.26","51,64,401","16,89,19,490.97","15,518"
"19-Jul-2023","EQ","32.99","33.30","32.64","32.92","32.93","32.91","32.94","33.72","27.26","70,07,118","23,08,37,808.31","16,214"
"18-Jul-2023","EQ","32.94","33.00","32.40","32.58","32.92","32.92","32.74","33.72","27.26","82,46,711","26,99,63,046.98","17,152"
"17-Jul-2023","EQ","32.50","33.20","32.40","32.42","32.63","32.58","32.83","33.72","27.26","1,59,00,581","52,20,57,339.62","29,998"
"14-Jul-2023","EQ","31.42","32.50","31.24","31.08","32.40","32.42","31.95","33.72","27.10","1,77,91,917","56,85,37,280.54","23,779"
"13-Jul-2023","EQ","30.25","31.33","30.25","30.61","31.10","31.08","31.13","33.72","27.10","80,26,452","24,98,77,584.46","12,694"
"12-Jul-2023","EQ","30.90","30.96","30.51","30.81","30.70","30.61","30.66","33.72","27.10","38,56,575","11,82,23,900.16","15,122"
"11-Jul-2023","EQ","30.67","30.89","30.61","30.67","30.86","30.81","30.78","33.72","27.10","41,01,168","12,62,44,768.33","9,818"
"10-Jul-2023","EQ","31.36","31.36","30.58","31.02","30.73","30.67","30.74","33.72","27.10","64,03,766","19,68,66,630.56","18,686"
"07-Jul-2023","EQ","31.25","31.39","30.98","31.30","31.08","31.02","31.14","33.72","27.10","65,03,608","20,25,23,992.86","15,969"
"06-Jul-2023","EQ","31.23","31.43","31.16","31.26","31.32","31.30","31.24","33.72","27.10","44,89,622","14,02,68,369.65","11,845"
"05-Jul-2023","EQ","31.40","31.79","31.14","31.13","31.29","31.26","31.27","33.72","27.10","61,90,922","19,36,08,602.35","14,322"
