"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2023","EQ","465.42","465.53","463.00","464.49","465.02","464.74","464.18","475.98","377.98","26,656","1,23,73,097.93","357"
"31-Jul-2023","EQ","462.66","468.90","461.80","462.66","465.00","464.49","463.59","475.98","377.98","6,401","29,67,439.46","330"
"28-Jul-2023","EQ","465.00","465.00","460.53","465.30","462.96","462.66","462.43","475.98","367.43","46,046","2,12,92,858.44","303"
"27-Jul-2023","EQ","469.39","471.09","463.75","468.27","466.77","465.30","464.53","475.98","367.43","56,624","2,63,03,729.12","834"
"26-Jul-2023","EQ","463.41","469.35","460.41","467.61","467.88","468.27","466.87","475.98","367.43","7,973","37,22,359.17","322"
"25-Jul-2023","EQ","467.52","469.02","464.66","467.33","468.13","467.61","466.25","475.98","367.43","17,502","81,60,314.46","337"
"24-Jul-2023","EQ","471.01","475.98","466.45","469.18","467.11","467.33","468.70","475.98","367.43","7,556","35,41,514.92","527"
"21-Jul-2023","EQ","469.98","472.10","462.24","469.59","468.31","469.18","469.53","472.10","350.00","4,602","21,60,757.60","371"
"20-Jul-2023","EQ","464.33","470.94","462.01","464.33","470.94","469.59","466.98","471.44","350.00","29,883","1,39,54,640.13","454"
"19-Jul-2023","EQ","466.00","471.44","462.01","462.20","464.77","464.33","463.88","471.44","350.00","8,756","40,61,764.64","260"
"18-Jul-2023","EQ","462.89","467.00","461.33","462.90","461.37","462.20","463.76","467.00","350.00","23,920","1,10,93,251.21","436"
"17-Jul-2023","EQ","463.90","463.90","454.13","456.84","461.83","462.90","457.72","464.90","350.00","2,84,627","13,02,78,691.66","2,407"
"14-Jul-2023","EQ","455.00","458.89","454.03","454.72","457.13","456.84","456.20","464.90","349.20","6,439","29,37,469.05","469"
"13-Jul-2023","EQ","456.01","458.99","454.10","454.69","455.00","454.72","457.12","464.90","349.20","1,96,849","8,99,84,431.34","276"
"12-Jul-2023","EQ","461.44","461.44","454.15","457.02","456.14","454.69","455.65","464.90","349.20","1,02,244","4,65,87,766.02","316"
"11-Jul-2023","EQ","463.80","463.80","455.58","457.85","457.70","457.02","458.84","464.90","349.20","1,80,042","8,26,09,900.87","371"
"10-Jul-2023","EQ","463.86","463.86","456.25","459.43","458.00","457.85","458.05","464.90","349.20","7,582","34,72,915.59","410"
"07-Jul-2023","EQ","462.41","462.41","457.27","462.18","459.25","459.43","459.30","464.90","339.99","37,198","1,70,84,866.15","449"
