"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2023","EQ","213.00","213.00","208.00","209.50","210.00","209.96","209.22","215.77","178.01","1,449","3,03,157.72","30"
"31-Jul-2023","EQ","214.48","214.48","209.50","209.50","209.50","209.50","211.00","215.77","178.01","145","30,594.38","23"
"28-Jul-2023","EQ","210.00","213.55","207.30","210.31","209.50","209.50","211.84","215.77","174.37","757","1,60,363.37","49"
"27-Jul-2023","EQ","210.00","211.77","209.30","210.15","210.31","210.31","210.36","215.77","174.37","67","14,094.34","17"
"26-Jul-2023","EQ","208.30","210.60","207.80","209.46","210.00","210.15","209.98","215.77","174.37","765","1,60,634.67","22"
"25-Jul-2023","EQ","210.00","210.01","208.50","207.47","208.50","209.46","209.20","215.77","174.37","637","1,33,259.06","45"
"24-Jul-2023","EQ","211.40","211.41","205.85","208.72","210.48","207.47","210.09","215.77","174.37","13,024","27,36,189.51","234"
"21-Jul-2023","EQ","205.81","212.25","205.81","207.51","210.00","208.72","208.69","215.77","172.00","1,041","2,17,251.22","46"
"20-Jul-2023","EQ","207.99","211.90","206.35","209.25","207.51","207.51","209.31","215.77","172.00","968","2,02,615.51","56"
"19-Jul-2023","EQ","207.49","211.19","206.05","208.67","209.25","209.25","208.74","215.77","172.00","968","2,02,062.91","37"
"18-Jul-2023","EQ","211.40","211.40","208.42","208.50","208.67","208.67","209.25","215.77","172.00","3,547","7,42,193.58","29"
"17-Jul-2023","EQ","207.92","208.50","206.91","207.87","208.50","208.50","208.41","215.77","172.00","343","71,484.03","25"
"14-Jul-2023","EQ","208.08","209.60","206.55","211.38","208.31","207.87","207.25","215.77","169.40","446","92,434.94","44"
"13-Jul-2023","EQ","209.89","211.45","205.10","205.78","211.05","211.38","207.78","215.77","169.40","38","7,895.73","22"
"12-Jul-2023","EQ","205.85","209.89","205.10","206.29","205.11","205.78","206.61","215.77","169.40","766","1,58,260.51","45"
"11-Jul-2023","EQ","208.26","208.36","205.85","207.38","206.49","206.29","207.26","215.77","169.40","761","1,57,726.34","63"
"10-Jul-2023","EQ","209.98","209.98","203.99","205.01","206.00","207.38","206.36","215.77","169.40","1,499","3,09,328.74","81"
"07-Jul-2023","EQ","207.53","210.70","204.92","206.39","205.00","205.01","206.89","215.77","166.50","2,393","4,95,087.26","56"
"06-Jul-2023","EQ","208.39","208.39","202.22","205.39","207.50","206.39","205.91","215.77","166.50","495","1,01,923.11","33"
"05-Jul-2023","EQ","215.77","215.77","202.06","206.47","205.30","205.39","206.41","215.77","166.50","1,690","3,48,832.84","34"
"04-Jul-2023","EQ","208.80","208.80","205.33","204.54","206.47","206.47","205.97","214.70","166.50","24,344","50,14,229.53","29"
"03-Jul-2023","EQ","203.67","208.90","201.93","203.67","205.03","204.54","205.44","214.70","166.50","199","40,881.91","54"
"30-Jun-2023","EQ","203.00","204.60","202.60","202.11","203.67","203.67","203.53","214.70","165.93","259","52,715.47","30"
"28-Jun-2023","EQ","204.00","204.89","198.80","200.13","201.55","202.11","201.69","214.70","165.93","320","64,540.41","53"
"27-Jun-2023","EQ","202.89","202.89","197.50","199.71","200.13","200.13","199.21","214.70","165.93","786","1,56,576.57","38"
"26-Jun-2023","EQ","202.34","202.34","198.31","198.37","199.71","199.71","199.34","214.70","165.93","68","13,555.34","17"
"23-Jun-2023","EQ","201.00","203.85","198.00","200.38","198.27","198.37","199.24","214.70","161.51","250","49,809.42","40"
"22-Jun-2023","EQ","204.89","204.89","199.00","201.58","200.10","200.38","200.67","214.70","161.51","618","1,24,013.58","33"
"21-Jun-2023","EQ","200.85","201.58","200.85","200.80","201.58","201.58","201.22","214.70","161.51","2","402.43","2"
"20-Jun-2023","EQ","209.95","209.95","199.31","200.90","199.77","200.80","200.36","214.70","161.51","601","1,20,413.78","16"
"19-Jun-2023","EQ","200.56","201.28","199.80","200.42","200.90","200.90","200.58","214.70","161.51","931","1,86,743.92","13"
"16-Jun-2023","EQ","200.91","201.02","199.84","199.86","200.42","200.42","200.86","214.70","161.51","78","15,667.00","8"
"15-Jun-2023","EQ","199.50","203.00","197.50","200.23","199.86","199.86","201.18","214.70","161.51","285","57,337.33","40"
"14-Jun-2023","EQ","199.00","205.00","198.30","198.90","205.00","200.23","199.62","214.70","161.51","68","13,574.27","27"
"13-Jun-2023","EQ","202.54","202.54","198.54","197.60","198.90","198.90","199.67","214.70","161.51","192","38,336.20","26"
"12-Jun-2023","EQ","198.58","198.81","197.31","197.59","197.60","197.60","198.55","214.70","161.51","62","12,310.10","12"
"09-Jun-2023","EQ","199.00","199.07","197.39","198.20","198.74","197.59","197.93","214.70","161.51","206","40,774.19","27"
"08-Jun-2023","EQ","202.40","202.40","196.65","198.41","196.65","198.20","199.47","214.70","161.51","174","34,708.34","36"
"07-Jun-2023","EQ","199.00","199.30","198.15","197.31","198.41","198.41","198.51","214.70","161.51","71","14,094.52","14"
"06-Jun-2023","EQ","198.20","198.20","197.31","198.39","197.31","197.31","197.73","214.70","161.51","78","15,422.86","7"
"05-Jun-2023","EQ","196.50","198.74","196.14","197.05","198.39","198.39","196.60","214.70","161.51","601","1,18,154.78","28"
"02-Jun-2023","EQ","201.20","201.20","197.05","196.80","197.05","197.05","200.39","214.70","161.51","178","35,668.67","14"
"01-Jun-2023","EQ","197.90","198.05","196.80","196.50","196.80","196.80","197.55","214.70","161.51","199","39,312.87","14"
"31-May-2023","EQ","195.33","198.15","195.33","198.00","196.50","196.50","197.12","214.70","161.51","130","25,625.22","25"
"30-May-2023","EQ","198.52","199.70","196.84","197.92","198.00","198.00","198.33","214.70","161.51","996","1,97,539.68","36"
"29-May-2023","EQ","199.89","199.89","196.76","196.79","197.92","197.92","197.62","214.70","161.51","178","35,176.86","22"
"26-May-2023","EQ","194.60","196.88","194.42","193.84","196.80","196.79","195.71","214.70","161.51","125","24,464.37","21"
"25-May-2023","EQ","194.44","194.49","193.01","194.09","193.84","193.84","194.11","214.70","161.51","217","42,122.29","17"
"24-May-2023","EQ","194.93","195.80","193.40","196.07","194.44","194.09","194.45","214.70","161.51","698","1,35,727.10","54"
"23-May-2023","EQ","192.86","196.40","192.79","191.76","196.40","196.07","194.00","214.70","161.51","1,316","2,55,309.97","59"
"22-May-2023","EQ","196.39","196.39","189.08","192.25","189.08","191.76","193.14","214.70","161.51","1,107","2,13,807.38","96"
"19-May-2023","EQ","188.72","193.12","188.72","191.89","192.25","192.25","191.51","214.70","161.51","3,393","6,49,794.27","28"
"18-May-2023","EQ","191.59","194.60","189.95","191.59","189.95","191.89","192.58","214.70","161.51","836","1,60,996.66","38"
"17-May-2023","EQ","194.00","194.76","190.87","194.27","192.31","191.59","192.96","214.70","161.51","1,244","2,40,038.97","74"
"16-May-2023","EQ","191.73","195.95","191.73","194.75","194.30","194.27","193.76","214.70","161.51","108","20,926.21","20"
"15-May-2023","EQ","196.40","196.40","192.08","193.25","194.75","194.75","194.55","214.70","161.51","362","70,425.57","24"
"12-May-2023","EQ","191.27","193.87","191.00","193.02","193.25","193.25","192.73","214.70","161.51","838","1,61,505.39","39"
"11-May-2023","EQ","193.00","193.75","193.00","193.02","193.02","193.02","193.02","214.70","161.51","5,070","9,78,631.69","13"
"10-May-2023","EQ","193.00","193.32","192.53","192.75","192.85","193.02","192.83","214.70","161.51","421","81,182.17","16"
"09-May-2023","EQ","191.56","194.08","191.56","192.64","192.75","192.75","193.72","214.70","161.51","104","20,146.72","15"
"08-May-2023","EQ","191.55","192.75","191.55","191.55","192.75","192.64","192.12","214.70","161.51","448","86,069.61","30"
