"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2023","EQ","212.22","212.22","205.10","208.06","207.07","207.18","208.29","218.00","171.16","2,115","4,40,527.46","149"
"31-Jul-2023","EQ","204.36","209.98","204.36","206.63","208.99","208.06","207.90","218.00","171.16","3,046","6,33,249.24","188"
"28-Jul-2023","EQ","210.98","210.98","203.69","206.89","207.11","206.63","207.60","218.00","158.16","2,51,409","5,21,92,509.48","152"
"27-Jul-2023","EQ","211.25","211.25","204.80","207.40","207.19","206.89","207.55","218.00","158.16","1,167","2,42,210.45","112"
"26-Jul-2023","EQ","209.79","209.79","203.60","206.93","207.37","207.40","207.69","218.00","158.16","637","1,32,297.36","76"
"25-Jul-2023","EQ","210.07","210.07","206.50","206.20","207.09","206.93","207.04","218.00","158.16","545","1,12,838.03","58"
"24-Jul-2023","EQ","216.98","216.98","205.71","212.30","206.40","206.20","206.70","218.00","158.16","21,528","44,49,825.10","236"
"21-Jul-2023","EQ","205.17","218.00","205.17","209.62","218.00","212.30","208.94","218.00","158.16","3,128","6,53,558.60","162"
"20-Jul-2023","EQ","214.88","214.88","205.80","208.86","210.88","209.62","209.06","214.88","158.16","43,783","91,53,379.90","190"
"19-Jul-2023","EQ","211.40","211.40","207.17","207.25","209.00","208.86","208.38","211.40","158.16","2,050","4,27,169.17","76"
"18-Jul-2023","EQ","208.88","209.00","206.23","206.39","207.25","207.25","207.21","209.00","158.16","24,215","50,17,496.98","144"
"17-Jul-2023","EQ","207.88","208.20","202.43","205.51","208.20","206.39","205.95","208.30","158.16","87,979","1,81,19,686.63","135"
"14-Jul-2023","EQ","204.50","206.57","203.50","204.33","205.99","205.51","205.02","208.30","158.16","1,252","2,56,691.15","84"
"13-Jul-2023","EQ","207.46","207.46","204.11","204.51","204.11","204.33","205.43","208.30","158.16","1,469","3,01,772.70","127"
"12-Jul-2023","EQ","205.48","205.48","203.30","203.15","204.20","204.51","204.22","208.30","158.16","2,149","4,38,877.78","107"
"11-Jul-2023","EQ","204.01","206.00","203.01","203.87","203.01","203.15","204.58","208.30","158.16","1,752","3,58,431.03","113"
"10-Jul-2023","EQ","202.52","206.97","202.51","203.26","203.37","203.87","203.73","208.30","158.16","2,107","4,29,269.27","117"
"07-Jul-2023","EQ","200.45","207.88","200.45","204.54","203.22","203.26","204.64","208.30","158.16","5,757","11,78,127.20","98"
"06-Jul-2023","EQ","203.28","205.64","203.28","203.27","203.28","204.54","204.16","208.30","158.16","786","1,60,472.72","56"
"05-Jul-2023","EQ","206.97","208.30","201.02","204.29","201.02","203.27","204.30","208.30","158.16","7,963","16,26,845.79","101"
"04-Jul-2023","EQ","205.41","205.41","201.39","201.38","205.00","204.29","203.80","207.00","158.16","1,740","3,54,619.99","102"
"03-Jul-2023","EQ","203.01","204.99","198.16","202.06","204.00","201.38","202.68","207.00","158.16","2,372","4,80,768.53","143"
"30-Jun-2023","EQ","198.27","204.00","197.02","199.27","204.00","202.06","200.92","207.00","158.16","2,051","4,12,093.49","149"
"28-Jun-2023","EQ","197.04","200.20","197.01","197.90","199.00","199.27","199.27","207.00","158.16","4,200","8,36,916.45","67"
"27-Jun-2023","EQ","199.00","201.25","195.82","199.04","197.05","197.90","197.71","207.00","158.16","747","1,47,686.71","80"
"26-Jun-2023","EQ","199.98","199.98","194.00","196.74","199.80","199.04","196.67","207.00","158.16","973","1,91,358.58","64"
"23-Jun-2023","EQ","200.50","200.50","195.40","198.20","197.10","196.74","197.18","207.00","158.00","24,863","49,02,429.73","75"
"22-Jun-2023","EQ","194.35","199.21","194.35","198.07","198.35","198.20","197.42","207.00","158.00","804","1,58,726.26","77"
"21-Jun-2023","EQ","201.98","201.98","196.43","197.91","198.00","198.07","198.42","207.00","158.00","834","1,65,482.17","70"
"20-Jun-2023","EQ","196.00","199.89","195.21","197.91","197.79","197.91","197.15","207.00","158.00","535","1,05,477.26","64"
"19-Jun-2023","EQ","199.89","199.89","195.01","197.17","198.04","197.91","197.83","207.00","158.00","1,739","3,44,028.10","95"
"16-Jun-2023","EQ","197.99","199.11","194.13","196.96","197.00","197.17","197.57","207.00","157.66","2,627","5,19,026.92","76"
"15-Jun-2023","EQ","199.64","201.00","196.51","199.65","197.31","196.96","197.91","207.00","157.66","3,915","7,74,816.86","115"
"14-Jun-2023","EQ","193.22","207.00","193.22","196.02","207.00","199.65","199.12","207.00","157.66","4,855","9,66,742.91","96"
"13-Jun-2023","EQ","191.53","197.49","191.53","191.53","193.02","196.02","196.22","204.99","157.66","3,190","6,25,934.22","127"
"12-Jun-2023","EQ","194.76","196.67","190.30","195.84","190.30","191.53","195.30","204.99","157.66","2,119","4,13,846.19","98"
"09-Jun-2023","EQ","199.78","199.78","195.00","197.16","198.00","195.84","195.62","204.99","157.66","1,669","3,26,482.82","85"
"08-Jun-2023","EQ","195.40","199.98","193.17","197.11","197.90","197.16","196.51","204.99","157.66","630","1,23,801.75","76"
"07-Jun-2023","EQ","199.88","199.88","196.01","197.91","197.50","197.11","197.03","204.99","157.66","944","1,85,999.56","71"
"06-Jun-2023","EQ","194.00","199.39","194.00","195.93","199.00","197.91","194.86","204.99","157.66","2,049","3,99,265.06","70"
"05-Jun-2023","EQ","192.17","195.99","192.17","195.47","195.70","195.93","195.23","204.99","157.66","1,779","3,47,320.34","72"
"02-Jun-2023","EQ","193.20","199.40","193.20","197.14","195.38","195.47","195.38","204.99","157.66","1,832","3,57,934.02","96"
"01-Jun-2023","EQ","191.77","197.49","191.77","195.68","197.49","197.14","195.67","204.99","157.66","626","1,22,492.43","49"
"31-May-2023","EQ","198.90","198.90","193.50","197.59","198.90","195.68","195.03","204.99","157.66","5,782","11,27,652.68","92"
"30-May-2023","EQ","199.35","199.35","192.17","195.46","198.00","197.59","197.08","204.99","157.66","1,697","3,34,443.61","43"
"29-May-2023","EQ","193.50","197.40","190.16","193.50","195.48","195.46","195.28","204.99","157.66","2,989","5,83,702.86","84"
"26-May-2023","EQ","193.85","194.69","189.01","191.80","192.52","193.50","193.70","204.99","157.66","2,728","5,28,421.28","67"
"25-May-2023","EQ","192.19","192.25","191.51","192.25","192.25","191.80","191.74","204.99","157.66","1,315","2,52,139.64","44"
"24-May-2023","EQ","192.13","193.32","191.81","192.13","193.00","192.25","192.86","204.99","157.66","6,978","13,45,776.10","59"
"23-May-2023","EQ","193.00","193.85","191.70","193.00","191.70","192.13","192.60","204.99","157.66","1,184","2,28,041.28","50"
"22-May-2023","EQ","193.85","193.85","188.37","192.12","193.00","193.00","192.37","204.99","157.66","558","1,07,342.68","82"
"19-May-2023","EQ","192.89","193.85","184.36","187.12","193.85","192.12","190.98","204.99","157.66","1,785","3,40,904.65","86"
"18-May-2023","EQ","192.16","192.16","185.01","191.31","185.01","187.12","190.97","204.99","157.66","1,335","2,54,951.28","53"
"17-May-2023","EQ","192.04","192.20","190.50","192.90","191.60","191.31","191.31","204.99","157.66","3,275","6,26,524.83","73"
"16-May-2023","EQ","193.84","193.84","192.01","192.38","192.91","192.90","192.94","204.99","157.66","893","1,72,297.42","49"
"15-May-2023","EQ","193.84","193.84","189.96","192.05","191.67","192.38","192.51","204.99","157.66","2,139","4,11,775.56","76"
"12-May-2023","EQ","192.24","192.31","189.96","192.60","191.28","192.05","191.29","204.99","157.66","2,862","5,47,481.78","59"
"11-May-2023","EQ","193.84","193.84","191.22","192.27","192.89","192.60","192.25","204.99","157.66","742","1,42,648.45","51"
"10-May-2023","EQ","193.89","193.89","190.81","191.85","192.25","192.27","191.70","204.99","157.66","1,051","2,01,481.15","63"
"09-May-2023","EQ","188.37","192.99","188.37","191.03","192.55","191.85","192.05","204.99","157.66","1,614","3,09,961.12","63"
"08-May-2023","EQ","193.60","193.74","189.50","189.76","189.50","191.03","191.08","204.99","157.66","2,854","5,45,349.80","105"
"05-May-2023","EQ","193.69","193.69","189.38","193.20","189.51","189.76","190.56","204.99","157.66","9,124","17,38,642.09","134"
"04-May-2023","EQ","193.34","195.00","189.51","189.92","195.00","193.20","190.89","204.99","157.66","2,180","4,16,135.13","81"
"03-May-2023","EQ","190.59","193.72","186.05","190.59","190.08","189.92","191.65","204.99","157.66","10,957","20,99,928.69","81"
"02-May-2023","EQ","188.22","190.70","188.22","188.22","190.59","190.59","190.04","204.99","157.66","619","1,17,632.28","95"
"28-Apr-2023","EQ","187.18","188.55","187.18","187.18","188.55","188.22","187.94","204.99","157.66","755","1,41,895.60","52"
"27-Apr-2023","EQ","188.50","188.50","185.64","186.70","186.60","187.18","186.77","204.99","157.66","162","30,257.51","33"
"26-Apr-2023","EQ","187.01","187.01","185.36","185.54","186.70","186.70","186.43","204.99","157.66","795","1,48,208.62","45"
"25-Apr-2023","EQ","189.89","189.89","185.00","186.30","185.42","185.54","185.93","204.99","157.66","918","1,70,680.37","54"
"24-Apr-2023","EQ","188.70","188.70","183.00","185.00","185.36","186.30","185.07","204.99","157.66","373","69,032.51","65"
"21-Apr-2023","EQ","185.21","185.29","183.80","184.50","184.17","185.00","184.44","204.99","157.66","463","85,393.60","33"
"20-Apr-2023","EQ","184.51","185.56","184.50","184.02","184.50","184.50","184.57","204.99","157.66","319","58,879.26","28"
"19-Apr-2023","EQ","186.99","186.99","183.83","184.78","183.90","184.02","184.49","204.99","157.66","339","62,541.06","43"
"18-Apr-2023","EQ","184.88","185.90","184.31","184.72","184.70","184.78","184.72","204.99","157.66","1,196","2,20,924.45","38"
"17-Apr-2023","EQ","188.00","188.00","184.00","186.06","184.72","184.72","185.35","204.99","157.66","1,086","2,01,285.01","84"
"13-Apr-2023","EQ","186.00","186.78","185.32","186.37","186.75","186.06","185.97","204.99","157.66","325","60,441.18","43"
"12-Apr-2023","EQ","187.90","187.90","185.22","185.22","186.35","186.37","186.33","204.99","157.66","533","99,312.27","50"
"11-Apr-2023","EQ","184.01","188.00","184.01","184.21","185.18","185.22","185.30","204.99","157.66","595","1,10,251.80","42"
"10-Apr-2023","EQ","185.00","188.55","181.15","184.84","184.21","184.21","185.42","204.99","157.66","2,762","5,12,143.50","107"
"06-Apr-2023","EQ","179.38","185.00","179.38","183.97","184.79","184.84","183.93","204.99","157.66","398","73,205.86","37"
"05-Apr-2023","EQ","178.90","184.98","178.90","182.54","184.00","183.97","183.52","204.99","157.66","780","1,43,142.02","68"
"03-Apr-2023","EQ","178.16","183.00","178.16","181.10","182.93","182.54","182.30","204.99","157.66","1,446","2,63,609.25","66"
"31-Mar-2023","EQ","180.99","181.40","175.85","179.41","181.05","181.10","180.77","215.89","157.66","512","92,551.72","58"
"29-Mar-2023","EQ","180.99","180.99","177.15","177.94","179.43","179.41","178.48","215.89","157.66","41,551","74,16,080.93","62"
"28-Mar-2023","EQ","174.90","178.61","174.90","177.83","178.03","177.94","177.21","215.89","157.66","1,183","2,09,642.05","45"
"27-Mar-2023","EQ","179.00","181.60","177.80","177.87","178.30","177.83","178.15","215.89","157.66","642","1,14,374.80","62"
"24-Mar-2023","EQ","182.89","182.89","177.74","180.24","177.87","177.87","178.37","215.89","157.66","815","1,45,370.20","88"
