"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2023","EQ","46.15","47.04","46.15","46.83","46.75","46.80","46.85","52.60","37.10","60,641","28,41,252.94","1,215"
"31-Jul-2023","EQ","47.08","47.08","46.37","46.60","46.80","46.83","46.79","52.60","37.10","27,603","12,91,559.20","916"
"28-Jul-2023","EQ","46.65","46.72","45.91","46.14","46.72","46.60","46.42","52.60","37.10","49,486","22,97,200.70","788"
"27-Jul-2023","EQ","46.61","46.61","45.90","46.14","46.23","46.14","46.19","52.60","37.10","44,724","20,65,897.07","762"
"26-Jul-2023","EQ","47.30","47.30","45.89","45.90","46.05","46.14","46.13","52.60","37.10","1,56,778","72,31,755.43","696"
"25-Jul-2023","EQ","45.70","47.05","45.61","45.70","45.95","45.90","45.78","52.60","37.10","31,754","14,53,759.75","686"
"24-Jul-2023","EQ","47.05","47.05","45.50","45.66","45.73","45.70","45.76","52.60","37.10","50,985","23,33,175.35","1,002"
"21-Jul-2023","EQ","46.07","46.07","45.57","45.88","45.80","45.66","45.81","52.60","35.30","56,407","25,83,787.80","888"
"20-Jul-2023","EQ","44.55","46.37","44.55","45.95","45.86","45.88","45.81","52.60","35.30","74,508","34,13,062.16","972"
"19-Jul-2023","EQ","44.30","46.14","44.30","45.66","45.99","45.95","45.91","52.60","35.30","40,659","18,66,776.48","818"
"18-Jul-2023","EQ","47.25","47.25","45.54","45.89","45.75","45.66","45.73","52.60","35.30","75,174","34,37,783.14","926"
"17-Jul-2023","EQ","47.05","47.05","45.41","45.67","45.90","45.89","45.87","52.60","35.30","66,385","30,45,363.58","1,163"
"14-Jul-2023","EQ","46.80","46.80","45.30","45.45","45.82","45.67","45.50","52.60","35.30","64,057","29,14,899.53","732"
"13-Jul-2023","EQ","46.04","46.04","45.20","45.56","45.60","45.45","45.71","52.60","35.30","1,06,250","48,56,327.77","919"
"12-Jul-2023","EQ","45.97","45.97","45.34","45.51","45.53","45.56","45.51","52.60","35.30","31,950","14,54,121.75","765"
"11-Jul-2023","EQ","46.60","46.60","44.61","45.22","45.41","45.51","45.51","52.60","35.30","33,887","15,42,134.33","810"
"10-Jul-2023","EQ","44.05","45.98","44.05","45.43","45.27","45.22","45.29","52.60","35.30","56,966","25,79,883.64","1,291"
"07-Jul-2023","EQ","46.24","46.24","45.21","45.76","45.74","45.43","45.55","52.60","35.30","59,648","27,17,245.83","1,109"
"06-Jul-2023","EQ","46.85","46.85","44.15","45.49","45.77","45.76","45.71","52.60","35.30","65,204","29,80,474.64","960"
"05-Jul-2023","EQ","45.68","45.68","44.72","45.21","45.51","45.49","45.48","52.60","35.30","2,12,573","96,68,418.03","936"
"04-Jul-2023","EQ","43.95","45.56","43.95","45.30","45.30","45.21","45.32","52.60","35.30","40,761","18,47,153.84","904"
"03-Jul-2023","EQ","46.50","46.50","44.71","45.15","45.34","45.30","45.35","52.60","35.30","63,535","28,81,582.47","1,708"
"30-Jun-2023","EQ","44.85","45.33","43.50","44.85","45.20","45.15","45.22","52.60","32.80","2,42,665","1,09,72,796.68","870"
"28-Jun-2023","EQ","45.03","45.03","44.26","44.55","44.93","44.85","44.78","52.60","32.80","26,893","12,04,135.12","638"
"27-Jun-2023","EQ","44.81","44.81","43.00","44.34","44.47","44.55","44.50","52.60","32.80","36,014","16,02,798.08","599"
"26-Jun-2023","EQ","45.60","45.60","44.01","44.27","44.26","44.34","44.24","52.60","32.80","31,719","14,03,188.34","924"
"23-Jun-2023","EQ","45.40","45.40","44.20","44.91","44.21","44.27","44.39","52.60","32.80","58,769","26,08,666.17","893"
"22-Jun-2023","EQ","43.90","45.72","43.90","45.26","44.71","44.91","45.11","52.60","32.80","72,298","32,61,407.75","1,037"
"21-Jun-2023","EQ","45.75","45.75","45.21","45.27","45.30","45.26","45.46","52.60","32.80","1,48,313","67,42,772.84","680"
"20-Jun-2023","EQ","45.25","46.60","45.06","45.22","45.30","45.27","45.27","52.60","32.80","84,638","38,31,873.67","794"
"19-Jun-2023","EQ","45.78","45.78","45.02","45.27","45.22","45.22","45.33","52.60","32.80","46,841","21,23,232.32","1,102"
"16-Jun-2023","EQ","45.34","45.34","44.51","44.86","45.30","45.27","45.12","52.60","32.80","45,943","20,72,874.85","860"
"15-Jun-2023","EQ","44.51","45.07","44.51","44.76","44.90","44.86","44.93","52.60","32.80","35,463","15,93,255.05","821"
"14-Jun-2023","EQ","44.24","45.12","44.21","44.63","44.67","44.76","44.73","52.60","32.80","78,340","35,04,383.15","741"
"13-Jun-2023","EQ","45.55","45.55","44.24","44.23","44.67","44.63","44.58","52.60","32.80","37,773","16,83,957.77","800"
"12-Jun-2023","EQ","44.48","44.48","43.77","43.96","44.18","44.23","44.17","52.60","32.80","96,266","42,52,367.92","1,106"
"09-Jun-2023","EQ","45.35","45.35","43.76","44.03","43.91","43.96","44.07","52.60","32.80","36,658","16,15,352.00","814"
"08-Jun-2023","EQ","45.65","45.65","42.95","44.30","44.21","44.03","44.27","52.60","32.80","48,441","21,44,618.90","874"
"07-Jun-2023","EQ","45.20","45.20","43.69","43.87","44.39","44.30","44.19","52.60","32.80","86,771","38,34,733.90","891"
"06-Jun-2023","EQ","42.50","45.15","42.50","43.83","43.96","43.87","43.93","52.60","32.80","77,486","34,03,766.78","1,016"
"05-Jun-2023","EQ","45.05","45.05","43.01","43.73","43.91","43.83","43.86","52.60","32.80","2,10,111","92,14,879.76","2,424"
"02-Jun-2023","EQ","44.85","44.85","42.25","43.55","43.74","43.73","43.69","52.60","32.80","90,429","39,50,762.80","972"
"01-Jun-2023","EQ","43.74","43.75","43.07","43.41","43.55","43.55","43.71","52.60","32.80","1,77,552","77,60,018.99","1,010"
"31-May-2023","EQ","43.72","43.72","42.81","43.24","43.45","43.41","43.31","52.60","32.80","96,806","41,92,807.41","664"
"30-May-2023","EQ","44.45","44.45","41.85","43.17","43.31","43.24","43.30","52.60","32.80","74,991","32,47,475.38","574"
